	allele
0	HLAA0101
1	HLAA0101
2	HLAA0101
3	HLAA0101
4	HLAA0101
5	HLAA0101
6	HLAA0101
7	HLAA0101
8	HLAA0101
9	HLAA0101
10	HLAA0101
11	HLAA0101
12	HLAA0101
13	HLAA0101
14	HLAA0101
15	HLAA0101
16	HLAA0101
17	HLAA0101
18	HLAA0101
19	HLAA0101
20	HLAA0101
21	HLAA0101
22	HLAA0101
23	HLAA0101
24	HLAA0101
25	HLAA0101
26	HLAA0101
27	HLAA0101
28	HLAA0101
29	HLAA0101
30	HLAA0101
31	HLAA0101
32	HLAA0101
33	HLAA0101
34	HLAA0101
35	HLAA0101
36	HLAA0101
37	HLAA0101
38	HLAA0101
39	HLAA0101
40	HLAA0101
41	HLAA0101
42	HLAA0101
43	HLAA0101
44	HLAA0101
45	HLAA0101
46	HLAA0101
47	HLAA0101
48	HLAA0101
49	HLAA0101
50	HLAA0101
51	HLAA0101
52	HLAA0101
53	HLAA0101
54	HLAA0101
55	HLAA0101
56	HLAA0101
57	HLAA0101
58	HLAA0101
59	HLAA0101
60	HLAA0101
61	HLAA0101
62	HLAA0101
63	HLAA0101
64	HLAA0101
65	HLAA0101
66	HLAA0101
67	HLAA0101
68	HLAA0101
69	HLAA0101
70	HLAA0101
71	HLAA0101
72	HLAA0101
73	HLAA0101
74	HLAA0101
75	HLAA0101
76	HLAA0101
77	HLAA0101
78	HLAA0101
79	HLAA0101
80	HLAA0101
81	HLAA0101
82	HLAA0101
83	HLAA0101
84	HLAA0101
85	HLAA0101
86	HLAA0101
87	HLAA0101
88	HLAA0101
89	HLAA0101
90	HLAA0101
91	HLAA0101
92	HLAA0101
93	HLAA0101
94	HLAA0101
95	HLAA0101
96	HLAA0101
97	HLAA0101
98	HLAA0101
99	HLAA0101
100	HLAA0101
101	HLAA0101
102	HLAA0101
103	HLAA0101
104	HLAA0101
105	HLAA0101
106	HLAA0101
107	HLAA0101
108	HLAA0101
109	HLAA0101
110	HLAA0101
111	HLAA0101
112	HLAA0101
113	HLAA0101
114	HLAA0101
115	HLAA0101
116	HLAA0101
117	HLAA0101
118	HLAA0101
119	HLAA0101
120	HLAA0101
121	HLAA0101
122	HLAA0101
123	HLAA0101
124	HLAA0101
125	HLAA0101
126	HLAA0101
127	HLAA0101
128	HLAA0101
129	HLAA0101
130	HLAA0101
131	HLAA0101
132	HLAA0101
133	HLAA0101
134	HLAA0101
135	HLAA0101
136	HLAA0101
137	HLAA0101
138	HLAA0101
139	HLAA0101
140	HLAA0101
141	HLAA0101
142	HLAA0101
143	HLAA0101
144	HLAA0101
145	HLAA0101
146	HLAA0101
147	HLAA0101
148	HLAA0101
149	HLAA0101
150	HLAA0101
151	HLAA0101
152	HLAA0101
153	HLAA0101
154	HLAA0101
155	HLAA0101
156	HLAA0101
157	HLAA0101
158	HLAA0101
159	HLAA0101
160	HLAA0101
161	HLAA0101
162	HLAA0101
163	HLAA0101
164	HLAA0101
165	HLAA0101
166	HLAA0101
167	HLAA0101
168	HLAA0101
169	HLAA0101
170	HLAA0101
171	HLAA0101
172	HLAA0101
173	HLAA0101
174	HLAA0101
175	HLAA0101
176	HLAA0101
177	HLAA0101
178	HLAA0101
179	HLAA0101
180	HLAA0101
181	HLAA0101
182	HLAA0101
183	HLAA0101
184	HLAA0101
185	HLAA0101
186	HLAA0101
187	HLAA0101
188	HLAA0101
189	HLAA0101
190	HLAA0101
191	HLAA0101
192	HLAA0101
193	HLAA0101
194	HLAA0101
195	HLAA0101
196	HLAA0101
197	HLAA0101
198	HLAA0101
199	HLAA0101
200	HLAA0101
201	HLAA0101
202	HLAA0101
203	HLAA0101
204	HLAA0101
205	HLAA0101
206	HLAA0101
207	HLAA0101
208	HLAA0101
209	HLAA0101
210	HLAA0101
211	HLAA0101
212	HLAA0101
213	HLAA0101
214	HLAA0101
215	HLAA0101
216	HLAA0101
217	HLAA0101
218	HLAA0101
219	HLAA0101
220	HLAA0101
221	HLAA0101
222	HLAA0101
223	HLAA0101
224	HLAA0101
225	HLAA0101
226	HLAA0101
227	HLAA0101
228	HLAA0101
229	HLAA0101
230	HLAA0101
231	HLAA0101
232	HLAA0101
233	HLAA0101
234	HLAA0101
235	HLAA0101
236	HLAA0101
237	HLAA0101
238	HLAA0101
239	HLAA0101
240	HLAA0101
241	HLAA0101
242	HLAA0101
243	HLAA0101
244	HLAA0101
245	HLAA0101
246	HLAA0101
247	HLAA0101
248	HLAA0101
249	HLAA0101
250	HLAA0101
251	HLAA0101
252	HLAA0101
253	HLAA0101
254	HLAA0101
255	HLAA0101
256	HLAA0101
257	HLAA0101
258	HLAA0101
259	HLAA0101
260	HLAA0101
261	HLAA0101
262	HLAA0101
263	HLAA0101
264	HLAA0101
265	HLAA0101
266	HLAA0101
267	HLAA0101
268	HLAA0101
269	HLAA0101
270	HLAA0101
271	HLAA0101
272	HLAA0101
273	HLAA0101
274	HLAA0101
275	HLAA0101
276	HLAA0101
277	HLAA0101
278	HLAA0101
279	HLAA0101
280	HLAA0101
281	HLAA0101
282	HLAA0101
283	HLAA0101
284	HLAA0101
285	HLAA0101
286	HLAA0101
287	HLAA0101
288	HLAA0101
289	HLAA0101
290	HLAA0101
291	HLAA0101
292	HLAA0101
293	HLAA0101
294	HLAA0101
295	HLAA0101
296	HLAA0101
297	HLAA0101
298	HLAA0101
299	HLAA0101
300	HLAA0101
301	HLAA0101
302	HLAA0101
303	HLAA0101
304	HLAA0101
305	HLAA0101
306	HLAA0101
307	HLAA0101
308	HLAA0101
309	HLAA0101
310	HLAA0101
311	HLAA0101
312	HLAA0101
313	HLAA0101
314	HLAA0101
315	HLAA0101
316	HLAA0101
317	HLAA0101
318	HLAA0101
319	HLAA0101
320	HLAA0101
321	HLAA0101
322	HLAA0101
323	HLAA0101
324	HLAA0101
325	HLAA0101
326	HLAA0101
327	HLAA0101
328	HLAA0101
329	HLAA0101
330	HLAA0101
331	HLAA0101
332	HLAA0101
333	HLAA0101
334	HLAA0101
335	HLAA0101
336	HLAA0101
337	HLAA0101
338	HLAA0101
339	HLAA0101
340	HLAA0101
341	HLAA0101
342	HLAA0101
343	HLAA0101
344	HLAA0101
345	HLAA0101
346	HLAA0101
347	HLAA0101
348	HLAA0101
349	HLAA0101
350	HLAA0101
351	HLAA0101
352	HLAA0101
353	HLAA0101
354	HLAA0101
355	HLAA0101
356	HLAA0101
357	HLAA0101
358	HLAA0101
359	HLAA0101
360	HLAA0101
361	HLAA0101
362	HLAA0101
363	HLAA0101
364	HLAA0101
365	HLAA0101
366	HLAA0101
367	HLAA0101
368	HLAA0101
369	HLAA0101
370	HLAA0101
371	HLAA0101
372	HLAA0101
373	HLAA0101
374	HLAA0101
375	HLAA0101
376	HLAA0101
377	HLAA0101
378	HLAA0101
379	HLAA0101
380	HLAA0101
381	HLAA0101
382	HLAA0101
383	HLAA0101
384	HLAA0101
385	HLAA0101
386	HLAA0101
387	HLAA0101
388	HLAA0101
389	HLAA0101
390	HLAA0101
391	HLAA0101
392	HLAA0101
393	HLAA0101
394	HLAA0101
395	HLAA0101
396	HLAA0101
397	HLAA0101
398	HLAA0101
399	HLAA0101
400	HLAA0101
401	HLAA0101
402	HLAA0101
403	HLAA0101
404	HLAA0101
405	HLAA0101
406	HLAA0101
407	HLAA0101
408	HLAA0101
409	HLAA0101
410	HLAA0101
411	HLAA0101
412	HLAA0101
413	HLAA0101
414	HLAA0101
415	HLAA0101
416	HLAA0101
417	HLAA0101
418	HLAA0101
419	HLAA0101
420	HLAA0101
421	HLAA0101
422	HLAA0101
423	HLAA0101
424	HLAA0101
425	HLAA0101
426	HLAA0101
427	HLAA0101
428	HLAA0101
429	HLAA0101
430	HLAA0101
431	HLAA0101
432	HLAA0101
433	HLAA0101
434	HLAA0101
435	HLAA0101
436	HLAA0101
437	HLAA0101
438	HLAA0101
439	HLAA0101
440	HLAA0101
441	HLAA0101
442	HLAA0101
443	HLAA0101
444	HLAA0101
445	HLAA0101
446	HLAA0101
447	HLAA0101
448	HLAA0101
449	HLAA0101
450	HLAA0101
451	HLAA0101
452	HLAA0101
453	HLAA0101
454	HLAA0101
455	HLAA0101
456	HLAA0101
457	HLAA0101
458	HLAA0101
459	HLAA0101
460	HLAA0101
461	HLAA0101
462	HLAA0101
463	HLAA0101
464	HLAA0101
465	HLAA0101
466	HLAA0101
467	HLAA0101
468	HLAA0101
469	HLAA0101
470	HLAA0101
471	HLAA0101
472	HLAA0101
473	HLAA0101
474	HLAA0101
475	HLAA0101
476	HLAA0101
477	HLAA0101
478	HLAA0101
479	HLAA0101
480	HLAA0101
481	HLAA0101
482	HLAA0101
483	HLAA0101
484	HLAA0101
485	HLAA0101
486	HLAA0101
487	HLAA0101
488	HLAA0101
489	HLAA0101
490	HLAA0101
491	HLAA0101
492	HLAA0101
493	HLAA0101
494	HLAA0101
495	HLAA0101
496	HLAA0101
497	HLAA0101
498	HLAA0101
499	HLAA0101
500	HLAA0101
501	HLAA0101
502	HLAA0101
503	HLAA0101
504	HLAA0101
505	HLAA0101
506	HLAA0101
507	HLAA0101
508	HLAA0101
509	HLAA0101
510	HLAA0101
511	HLAA0101
512	HLAA0101
513	HLAA0101
514	HLAA0101
515	HLAA0101
516	HLAA0101
517	HLAA0101
518	HLAA0101
519	HLAA0101
520	HLAA0101
521	HLAA0101
522	HLAA0101
523	HLAA0101
524	HLAA0101
525	HLAA0101
526	HLAA0101
527	HLAA0101
528	HLAA0101
529	HLAA0101
530	HLAA0101
531	HLAA0101
532	HLAA0101
533	HLAA0101
534	HLAA0101
535	HLAA0101
536	HLAA0101
537	HLAA0101
538	HLAA0101
539	HLAA0101
540	HLAA0101
541	HLAA0101
542	HLAA0101
543	HLAA0101
544	HLAA0101
545	HLAA0101
546	HLAA0101
547	HLAA0101
548	HLAA0101
549	HLAA0101
550	HLAA0101
551	HLAA0101
552	HLAA0101
553	HLAA0101
554	HLAA0101
555	HLAA0101
556	HLAA0101
557	HLAA0101
558	HLAA0101
559	HLAA0101
560	HLAA0101
561	HLAA0101
562	HLAA0101
563	HLAA0101
564	HLAA0101
565	HLAA0101
566	HLAA0101
567	HLAA0101
